,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
29,trundletruck41,,,36,30,3532,26,"SA Survivor Reacts - Johnny Depp WINS &amp; Amber Heard LOSES - Call In Show! 

https://t.co/sgr5Z5ujWC 

#VictoryForJohnnyDepp #JohnnyDeppWon #johnnydepp #amberheard #alternews #JohnnyDeppGotJustice #JOHNNYDEPPWINS #JohnnyDeppGotHisJustice #JOHNNYDEPPWINS https://t.co/WxoKbM43aj",[]
30,GNinjuh,"Aspiring artísta! Learning a little more with every stroke
#IStandWithGinaCarano #WeStandWithCaraDune #WeStandWithLetitiaWright
#JusticeForJohnnyDepp
#AmberTurd",,5000,599,32835,0,"#LegalBytes 🍽💙 PRESENTS 
LAWYER DISCUSSES
#JohnnyDepp v. #AmberHeard #Verdict | #Media #Fallout [#ElaineBredehoft #TaylorLorenz #etc]

#JusticeForJohnnyDepp 

#TheLAWFIA
@legalbytesmedia
@HoegLaw
@UncivilLaw
#LawTalkWithMike
@nlwisco
@NatetheLawyer
https://t.co/4rhffGFAi7 https://t.co/enHjg5NUcC https://t.co/0ONuiE7Guw","['LegalBytes', 'JohnnyDepp', 'AmberHeard', 'Verdict', 'Media', 'Fallout', 'ElaineBredehoft', 'TaylorLorenz', 'etc', 'JusticeForJohnnyDepp', 'TheLAWFIA', 'LawTalkWithMike']"
31,UndergroundC1ty,"Tenacity, Uniqueness & Community. With no fear we will publish what the general media wont and challenge the manipulation fed through media.","Houston, TX",218,2308,337,0,#IIRCA:MediaReview : the spreading of information in support of a cause. Unimportant if information is true or false/cause is just or not: Amber Heard trial part 3 #amberheard #justiceforjohnnydepp Pettyparrot on tiktok https://t.co/teenpMe0n3,"['IIRCA', 'amberheard', 'justiceforjohnnydepp']"
32,Jconnelly291,,,12,12,7,0,"Instead of asking #1 or #2 when someone goes to the bathroom, I think I'm gonna start asking

#rkelly or #AmberHeard

😏😂😂😂😂","['rkelly', 'AmberHeard']"
33,MaryCar52186774,I cannot watch team Trump destroy America. Get the liar out of our WH. NO LISTS #VoteBlue2020 #TheResistance #FBR #DumpTrump #BigBlueWave #BlackLivesMatter.,United States,4785,4924,24193,0,The victim won. The abuser is #AmberHeard the jury saw it. Everyone in the world who watched saw she’s guilty of abuse and lying to destroy another persons life. https://t.co/7JimM0EDPK,['AmberHeard']
34,tipptopguy,,"Limerick, Ireland",3602,2862,71860,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
35,trundletruck41,,,36,30,3533,13,"MeToo Activists FREAK OUT Over Amber Heard LOSING! Demand Hollywood To Support Her! 

https://t.co/qCoEOAimLl 

#AmberHeard #JohnnyDepp #justiceforjohnnydepp #JohnnyDeppIsInnocent #AmberHeardIsBroke #JohnnyDeppWon #dailynerd https://t.co/WyQ5LkRis2",[]
36,MegScott1216,"Mom of 2 beautiful little girls, a Rottie and pitbull!! 🥰 
I'm legit just here to support Johnny Depp! Amber heard is a pathological liar!","Massachusetts, USA",331,91,367,8,The #DeppVsHeardverdict was a victory for women not a setback. It was only a setback for people that lie. #AmberHeard #JohnnyDepp #CamilleVasquez #JohnnyDeppIsInnocent #AmberHeardCommittedPerjury #AmberTurdIsAnAbuser #JusticeForJohhnyDepp https://t.co/cFIVcMU239,"['DeppVsHeardverdict', 'AmberHeard']"
37,pbmelendez,Senior National Reporter @thedailybeast // Previously @MSNBC @CNN @columbiajourn @nyuniversity // Opinions are my own// Insta: https://t.co/2nCpuibmWQ,"New York, NY",1474,3529,6547,0,"NEW: Camille Vasquez, one of #JohnnyDepp's lawyers, has been promoted to partner after the defamation trial against #AmberHeard

Read about how Vasquez gained a cult following during the #JohnnyDeppAmberHeardTrial here: https://t.co/uRnxM6pvaN https://t.co/1PgCr8910B","['JohnnyDepp', 'AmberHeard', 'JohnnyDeppAmberHeardTrial']"
38,diekittydie1,FAKE VICTIM deplorer,iron-fist-in-a-velvet-glove,154,104,1375,0,"omg... LOG OFF.

what an #amberheard &amp; #evebarlow move.

if you act like an entitled cunt online, people WILL toss it back at you, @TaylorLorenz. most people log off, they don't call cameras &amp; CRY about it.

GET SOME REAL PROBLEMS.

what an insult to people with actual PTSD. https://t.co/BBGXrZSnOF","['amberheard', 'evebarlow']"
39,liberama,"Yoga Teacher,  Massage Therapist, Animal Activist, Environmental Crusader,  Lover of laughter, wine, films, art & books..a fun bunny who lives left of center",,2498,888,71752,1,"Gayle King Announces Positive COVID Results from Workplace: 'Got the 'Rona' https://t.co/eV31Mjceww wasn’t Elaine on her show #JusticeServedForJohnnyDepp #DeppVsHeard #AmberHeardlsALiar #JohnnyDeppIsInnocent 
#johnnydepp #AmberHeard #AmberHeardCommittedPerjury",[]
40,MaryCar52186774,I cannot watch team Trump destroy America. Get the liar out of our WH. NO LISTS #VoteBlue2020 #TheResistance #FBR #DumpTrump #BigBlueWave #BlackLivesMatter.,United States,4785,4924,24193,0,"#AmberHeard to lied &amp; attempt to ruin a man’s life. She destroyed herself, social media is your excuse for her abusive Behavior? If you want to help Amber help her face the truth &amp; get help. Making excuses for her won’t get her the help she needs. https://t.co/WFr05eUwmZ",['AmberHeard']
41,bridgetmcinern1,Honesty,,49,78,5363,3,Disagree. Lest we forget. Emblazon her on the walls of time. Let no woman ever be an #AmberHeard. Let everyman be #JohnnyDepp. If peace is ever to be found it is in remembering. Always remembering. It's all remembering. https://t.co/vqzpUuHaQd,['AmberHeard']
42,nansnowflake,*Individual* with multiple sclerosis; our experiences are each different like snowflakes. Pro everything Republicans hate. While we're at it: F*** Greg Abbott,United States,1434,247,22388,8,The #DeppVsHeardverdict was a victory for women not a setback. It was only a setback for people that lie. #AmberHeard #JohnnyDepp #CamilleVasquez #JohnnyDeppIsInnocent #AmberHeardCommittedPerjury #AmberTurdIsAnAbuser #JusticeForJohhnyDepp https://t.co/cFIVcMU239,"['DeppVsHeardverdict', 'AmberHeard']"
43,nansnowflake,*Individual* with multiple sclerosis; our experiences are each different like snowflakes. Pro everything Republicans hate. While we're at it: F*** Greg Abbott,United States,1434,247,22388,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
44,PopCulMinefield,"Film Industry and Comics Pro Gerry Kissell and Filmmaker Keith Moncrief, along with their Panelists, do LIVE Interviews, Rumors, Scoops, and News Analysis.","Missouri, USA",1023,1343,12842,1,"🚨Morning Coffee w Gerry | weekdays 10am CST🚨
The show that lasts as long as my coffee. 
Amber Heard out, Aquaman 2?! Neve Campbell out, Scream 6?!  Let's talk about it over some coffee.
▶️ https://t.co/9hEcF6p32U
#AmberHeard #AmberTurd #Aquaman #DC #ATT #NeveCampbell #SCREAM https://t.co/n6Yd27n0iA","['AmberHeard', 'AmberTurd', 'Aquaman', 'DC', 'ATT', 'NeveCampbell', 'SCREAM']"
45,BrightOj86,"Love music and sports.
Cryptocurrency/Gaming Enthusiast","Texas, USA",714,409,777,12,"💔The afterglow of #JonnyDepp  and #AmberHeard  trial has not yet dissipated

⬆️Depp’s NFT #NeverFearTruth is still surging @JohnnyDeppNFT 

✊Who are you rooting for? Has #NFT succeeded in putting this famous trial in a collectible?
 
#JonnyDeppvsAmberHeard https://t.co/a9UVUnqqHX","['JonnyDepp', 'AmberHeard', 'NeverFearTruth']"
46,anthony0358,I used to love New York City,"New York, New York",142,144,147595,1,I've heard rumors that Warner Brothers cut 30 minutes of #AmberHeard scenes from #Aquaman2 where she talks about how King Orm viciously assaulted her but she covers her bruises with waterproof make-up and when Aquaman doesn't believe her she cuts off his hand. https://t.co/JQUMMf5XZJ https://t.co/MezsuIP5f9,"['AmberHeard', 'Aquaman2']"
47,LilMissDrama_25,We all go a little mad sometimes,Lost in my mind,4656,4721,72079,2,"@torinogoth @ThatUmbrella You have now seen how little regard #AmberHeard and #ElaineBredehoft have for the integrity of the courts or for jury verdicts. Michele Dauber doesn't either. She colluded behind the scenes of People v Brock Turner &amp;, per FOIA, seems to have written the victim impact statement","['AmberHeard', 'ElaineBredehoft']"
48,LilMissDrama_25,We all go a little mad sometimes,Lost in my mind,4656,4721,72079,1,@torinogoth @ThatUmbrella TUG - Michele Dauber ( #AmberHeard stated in Glamour Mag 2018 that she is amplifying her voice) is seriously someone to expose in all of this. She organized the recall of Judge Persky......,['AmberHeard']
49,teel0ck,"""anything recorded is a message to the future""",metaverse,175,611,47849,0,Grimes Reveals How #AmberHeard Seduced Elon Musk https://t.co/5HWdK14PlL via @YouTube,['AmberHeard']
50,catatoniakt,,,7,2,670,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
51,bloomingmindxx,Disability & witchcraft with a vintage flare 🦋Blogger|You Tuber - links below🦋 omnist elemental witch 🦋she|her,"Rugeley, Staffs, England",4098,2416,54503,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
52,_JustBecky_,@TheChurchOfDepp,Belgium,431,424,8253,0,"#AmberHeard falsly accusing #JohnnyDepp so he said: ""She's begging for global humiliation and she's gonna get it."" *releases all the bullSHIT AH said and done*

Her stans: ""OMG, how dare he to humiliate AH, she done nothing to him except lie, ruin his life and humiliate him"" https://t.co/bvdqTJZesG","['AmberHeard', 'JohnnyDepp']"
53,DeneenStam,,Jurassic Park,411,119,11462,8,The #DeppVsHeardverdict was a victory for women not a setback. It was only a setback for people that lie. #AmberHeard #JohnnyDepp #CamilleVasquez #JohnnyDeppIsInnocent #AmberHeardCommittedPerjury #AmberTurdIsAnAbuser #JusticeForJohhnyDepp https://t.co/cFIVcMU239,"['DeppVsHeardverdict', 'AmberHeard']"
54,MegScott1216,"Mom of 2 beautiful little girls, a Rottie and pitbull!! 🥰 
I'm legit just here to support Johnny Depp! Amber heard is a pathological liar!","Massachusetts, USA",331,91,367,20,Alleluia.....finally a truthful headline and article in MSM. If anyone has setback women and setback abused women it's her not him. Stop playing the victim Amber. #AmberLied #AmberHeardCommittedPerjury #AmberHeard #JusticeForJohnnyDepp #JohnnyDeppGotJustice #VictoryForJohnnyDepp https://t.co/NVyoC6Nm9K,[]
55,ETCanada,"The nation’s entertainment powerhouse, we set the pace with more breaking news, in-depth profiles & exclusives than anyone else. Weeknights on @GlobalTV 7:30",Canada,12452,388150,385935,0,#JohnnyDepp and #AmberHeard's former L.A. penthouse is on the market https://t.co/X5CwF1ZkKi,"['JohnnyDepp', 'AmberHeard']"
56,disguisedlemon,Lemons deserve love too.,,32,13,181,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
57,ewe_ryu,"happiness is observing the world from my perch.
https://t.co/fk6uWvRX33","Tokyo, Japan",28,14,4122,0,New Source close to Amber Heard releases new statement! https://t.co/dNUMFmuLt0 #AmberHeard,['AmberHeard']
58,Iederenisgelijk,"#Apruebo 
Chileense vrouw in Nederland
#TeamJhonnyDepp 💜🙌",Holanda,590,336,6780,11,"Whitney Henriquez, #AmberHeard's sister, released a statement over the weekend in response to the verdicts in the #JohnnyDepp defamation trial.

What do YOU think?

WATCH #CourtTV LIVE - https://t.co/Ps5kNht0Fn https://t.co/E1htJ3BYcX","['AmberHeard', 'JohnnyDepp']"
59,issaleyenda,naya ミ☆ she/her,🇩🇴,863,742,160121,1,"So the message is - being a super b!tch who humiliates a DV victim live on global TV = promotion. Great message for young girls 🙄

#AmberHeard https://t.co/EWuftsH4S0",[]
60,rebelheart10,"•30
•Sports
•Music
•Free spirit
•Drugs are my specialty
•Dreamer
•Wild
•Singing and songwriting are my passion
•Nice to meet you✌🏽","Georgia, USA",2453,830,43878,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
61,patriotsgather,American Patriot,"Massachusetts, USA",279,19,1672,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
62,PaisleyMoon7,Freethinker - escapist - space- books - dogs. Bad Wolf. #JusticeForJohnnyDepp 🏴‍☠️ Awake.,Deppwood,442,178,1291,6,"A legal analyst on the Law&amp;Crime Network said Tuesday that it is hard to take #AmberHeard's sister #WhitneyHenriquez ""seriously"" when discussing the Instagram post she made in support of Heard. https://t.co/UHNBFGQhxs","['AmberHeard', 'WhitneyHenriquez']"
63,republic_glitz,"Official handle of the entertainment section of Republic, India's only independent news venture.","Mumbai, India",6,24944,26611,0,"#JohnnyDepp, #AmberHeard’s lavish Los Angeles penthouse up for sale for a whopping price
https://t.co/aAwdWAT5t4","['JohnnyDepp', 'AmberHeard']"
64,LilMissDrama_25,We all go a little mad sometimes,Lost in my mind,4656,4721,72079,77,"This Stanford prof and #AmberHeard stan’s page is hilarious. I was in a shitty mood and then I found her Twitter where she’s spewing anti-Depp rants like a lunatic and I laughed. 

I have a PhD and I can tell you that way too many of them are crazy like this. https://t.co/qb17d1jf8c",['AmberHeard']
65,Oneindia,"https://t.co/30Gam11zgf is a gamut of online resources. From breaking stories, top news, current affairs to sports update, movies & entertainment.",India,632,66141,420835,0,"#JohnnyDepp spends ₹ 48 Lakh at Indian restaurant in #Birmingham to celebrate win against #AmberHeard 

#JohnnyDeppAmberHeardTrial #JohnnyDeppvAmberHeard #JohnnyDeppVsAmberHeard https://t.co/itVOAen221","['JohnnyDepp', 'Birmingham', 'AmberHeard', 'JohnnyDeppAmberHeardTrial', 'JohnnyDeppvAmberHeard', 'JohnnyDeppVsAmberHeard']"
66,martinabcecchi,"Autistic - ADHD - Borderline -Bisex - OCD - Dislexic - Anxious Weirdo Rock Soul| Abuse has no gender | Rock Soul| 
#justiceforjohnnydepp","Lucca, Toscana",108,150,6951,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
